"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-05-28.nlogo"
"nu_of_neighborhoods_4_6_8"
"06/06/2021 23:04:33:614 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","information-exchange-period","Insulation-Inputting","rewire-prob","no-of-neighborhoods","number-of-links","neighborhood-size","Value-Inputting","climate-change-scenario","gas-price-increase-scenario","annual-subsidy-budget","percentage-loss-per-svo","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household"
"68","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","51","0.295","0.5485714285714289","59.08728296403418","28.679204300476812","0.08621139576204939","132.07811423092286"
"69","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.31833333333333336","0.5623809523809524","59.74790659017711","27.366496580238334","0.10025874818144445","130.76358669311708"
"70","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","47","0.32","0.5516666666666667","61.47315128168152","25.97617947704995","0.09337180280311941","131.441531156239"
"71","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","41","0.33666666666666667","0.5471428571428567","57.8639501857456","29.21102181350454","0.11440526574812537","130.44763005210066"
"72","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","39","0.26166666666666666","0.5673809523809523","60.73665642894176","25.243577674543427","0.08120461632710772","129.43878568271728"
"73","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.3066666666666667","0.5588095238095239","59.20301154753594","27.591312991368135","0.10248392625116481","130.23462382286044"
"74","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.3633333333333333","0.5273809523809523","60.23334980727012","26.627264371752663","0.0967711056839903","130.42503726131986"
"75","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.2933333333333334","0.5561904761904759","58.48840478093619","28.078582143407424","0.12857125671562386","129.36668696886193"
"76","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","41","0.34166666666666673","0.545952380952381","57.611948682327785","28.822969346112664","0.10861468423247943","129.56395062751983"
"77","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.32333333333333336","0.5623809523809524","59.80632140466971","27.226609785094226","0.0992856326398382","130.66334214217676"
"78","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.30500000000000005","0.551190476190476","59.356018074976085","27.474607907616743","0.10892874563443655","130.1576691845338"
"79","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.35000000000000003","0.5307142857142857","60.006974749777456","26.58544368359883","0.0965646318837301","130.02050888348904"
"80","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","53","0.37666666666666665","0.5361904761904759","63.39876957275541","24.54505895290373","0.09017055967257051","132.26943814517287"
"82","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.2816666666666667","0.5480952380952382","58.987924270447806","27.601548891832298","0.10465565436170579","129.87438610258067"
"81","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.345","0.5350000000000001","60.057334893673385","26.96024885988381","0.09983307229998672","130.6199202834977"
"83","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","55","0.3383333333333334","0.5554761904761905","63.577511940925916","24.988936024733757","0.0892139197116876","133.2466883385704"
"88","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.33","0.5461904761904761","59.38517714773029","26.934010947497452","0.10297521215753846","129.49468289309263"
"85","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","43","0.30833333333333335","0.559047619047619","61.63330980128803","26.02981331226349","0.0851824090627602","131.92436888223662"
"84","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","39","0.3116666666666667","0.5361904761904759","53.96839139963845","32.09954363832882","0.09259405220174984","129.32069972646718"
"87","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.3583333333333334","0.5469047619047616","59.84314452462161","27.41113202422744","0.12094051221262987","130.558643955483"
"86","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.3466666666666667","0.5338095238095235","57.345965966917895","29.39033107906928","0.08434136550727374","130.48511028906057"
"89","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.31333333333333335","0.5461904761904761","59.30286127249933","27.367449862860674","0.104698884567064","129.9950254832617"
"90","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.3499999999999999","0.5423809523809524","60.48085458829051","26.868269524813332","0.09455596591919146","131.2294460586001"
"91","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.37166666666666665","0.5376190476190477","57.990542186103546","28.98993367789678","0.08526930512253302","130.83740779635872"
"92","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.3216666666666667","0.5402380952380952","56.796773727864","29.490049734573294","0.08558492449837019","129.78241551466243"
"97","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.3416666666666666","0.5450000000000004","59.893150184181685","26.9332385735718","0.1013158272948303","130.29720511415604"
"95","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.32","0.5499999999999998","59.68333280623386","27.019944012188738","0.09986736810087393","130.14452535623647"
