"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-05-28.nlogo"
"gas_price_increase_0005-002"
"06/07/2021 00:25:28:882 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","information-exchange-period","Insulation-Inputting","rewire-prob","no-of-neighborhoods","number-of-links","neighborhood-size","Value-Inputting","climate-change-scenario","gas-price-increase-scenario","annual-subsidy-budget","percentage-loss-per-svo","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household"
"73","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.34800000000000003","0.5394285714285711","55.50299398740633","51.41667996139835","0.11264350575268339","131.82023708732743"
"74","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.33399999999999996","0.5451428571428569","55.88241935479669","52.04199960597802","0.11084296304686064","133.14339000493584"
"75","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.312","0.5505714285714287","55.109346693593174","52.83072287433724","0.11217401017499783","133.14768372507174"
"76","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.33","0.5388571428571431","55.11111253992414","52.24596164695057","0.11806731610252258","132.2788937374731"
"77","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.346","0.5439999999999996","55.5960148015827","51.874216395576724","0.12433274976041986","132.30171798098203"
"78","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.35","0.548","56.1896356816617","51.53108734586265","0.11335050596221806","132.83205624980314"
"79","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.326","0.5548571428571432","54.71468380707617","52.66060807809332","0.11653085963871349","132.35159685484496"
"80","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","53.8","0.312","0.5508571428571427","55.63458876415697","50.996847019158636","0.07029381582111682","132.33131479468898"
"81","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.318","0.5582857142857143","55.09233690465269","52.178692846119496","0.11382868244364204","132.27233311700004"
"82","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.33599999999999997","0.5551428571428572","55.7278768134262","52.1942138783699","0.08568474294616664","133.6558660934575"
"84","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.332","0.5405714285714289","55.72180364229278","52.42323545853144","0.11986169243129155","133.2535568259776"
"83","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.33399999999999996","0.5505714285714283","55.9695892564279","52.42675835742834","0.12899239999774892","133.39461600798154"
"85","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","75.4","0.42000000000000004","0.5168571428571425","69.5632411431589","39.0710673497232","0.07461918635597868","134.706281352245"
"86","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.336","0.5385714285714283","54.81751003046696","51.7727820730889","0.11282702278173105","131.4056765483335"
"87","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.32999999999999996","0.5602857142857145","55.913479032215236","52.09537948071179","0.10568209147316594","133.369686126886"
"88","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.318","0.5505714285714287","54.955623201193625","52.57721874529591","0.11018905474626593","132.6667445598365"
"89","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.32599999999999996","0.5397142857142856","55.50373208020146","52.502937020020084","0.08828526206659007","133.69659708009667"
"90","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.33799999999999997","0.5259999999999998","54.81929863131222","52.052508286021826","0.10161102493320301","131.96573045371684"
"91","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.324","0.5859999999999999","60.735874128937034","64.76814044768967","0.08849298317711458","132.0101729753466"
"92","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","68.2","0.40599999999999997","0.5582857142857143","66.37779703152302","60.93911986615009","0.06568781413595559","134.3244193918841"
"93","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.316","0.5799999999999996","62.7199145417542","63.41694168075537","0.072149757248539","132.98998711693363"
"94","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.352","0.5677142857142856","61.726912837230515","64.34067714489171","0.09080125514028481","132.5135346392577"
"95","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.29600000000000004","0.6054285714285714","59.62972432129415","65.41023614790058","0.08902863410280588","131.5211769806421"
"96","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.36","0.5708571428571432","61.10575482935408","65.09019255219924","0.10895120280454336","132.28753602327436"
"97","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.31","0.5837142857142861","59.89206249449213","65.07782642588529","0.08639617845390718","131.46586908965196"
"98","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.342","0.5677142857142856","60.6677843071821","64.6004718945781","0.10145189988530207","131.43969583165932"
"99","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.314","0.5862857142857143","60.5485225645366","65.86904430520723","0.10273469042136299","132.72794295744563"
"100","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.298","0.5859999999999999","59.750300319005156","66.28601505159169","0.10289028039287303","132.29834867785743"
"101","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.266","0.5908571428571432","58.23386163715911","66.97570962485618","0.08852027769515872","131.7262559341918"
"102","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.288","0.5845714285714285","58.77260154857725","66.28564225936258","0.09548083039615421","131.39513230080706"
"103","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.296","0.5982857142857143","59.47151803941019","65.41650301165654","0.08158264775264855","131.53286565605833"
"104","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.33799999999999997","0.5551428571428572","60.04078760964213","65.6741928655222","0.11383546953626222","131.6372988235605"
"105","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.28600000000000003","0.5717142857142856","58.597684570924116","66.77669310635277","0.10008589372638284","131.60223281991705"
"106","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.312","0.5797142857142856","60.515451856799054","66.09635633055953","0.11477236045886913","132.6775922551085"
"107","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.326","0.5697142857142858","60.317374244796625","65.76077968919091","0.0790233783417179","132.7848627704671"
"108","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.304","0.5791428571428572","59.87254346587739","66.27195357703407","0.07670185034608182","132.91114063196716"
"109","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.29000000000000004","0.6051428571428574","60.61267944529622","66.43504211198015","0.10444087392382073","133.3938147239043"
"110","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.298","0.5982857142857143","59.85138633679048","65.63249742277317","0.09589709468116325","131.86848088415448"
"111","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.34199999999999997","0.5685714285714285","60.81875466655608","64.93344086386794","0.09046247648473411","132.19093596633698"
"113","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","63.4","0.38","0.5508571428571427","63.01033936864808","63.48540160281358","0.06776577572344991","133.37774932680108"
"112","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.33","0.5765714285714285","60.29921158908348","65.6560954347492","0.10593534864272272","132.08849935651074"
"114","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.274","0.5868571428571427","58.53078993134858","66.16277382533357","0.08683838065490052","131.19975994642581"
"116","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","56.2","0.38399999999999995","0.552","62.98049564957812","63.011253296072624","0.062433900989577754","132.9637765437007"
"117","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","65.8","0.382","0.5494285714285718","63.660783108316956","62.67954759191057","0.051784578597616364","133.5145610669363"
"115","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.31399999999999995","0.6031428571428572","60.95990055709454","65.70244499802507","0.09781444990242534","133.09254756941175"
"118","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.32799999999999996","0.573142857142857","60.42321482719162","65.86743563596563","0.10170213139208216","132.5333332451743"
"120","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.314","0.5662857142857143","58.855146198980215","66.09913729533748","0.10881111635040241","130.96596547061125"
"119","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.02","4","15","239","61","0.35000000000000003","0.5619999999999998","62.06172876834145","65.75642931025072","0.12502921247779142","133.70625535361884"
